page	resource_type	author	url
2a	video	NotebookLM	https://youtu.be/E_AaMOLk36k
2a	mindmap	NotebookLM	local
3a	video	NotebookLM	https://youtu.be/uKmSFXz0ZtQ?si=4J-qcbf1-ohaVHai
2a	audio	Rabbi Aryeh Lebowitz	https://pub-118b5aaf6ae949ac8f59a93faec8a3da.r2.dev/2025/1109/1146473.MP3?redirect=download.yutorah.org
3a	audio	Rabbi Aryeh Lebowitz	https://pub-118b5aaf6ae949ac8f59a93faec8a3da.r2.dev/2025/1109/1146625.MP3?redirect=download.yutorah.org
4a	audio	Rabbi Aryeh Lebowitz	https://pub-118b5aaf6ae949ac8f59a93faec8a3da.r2.dev/2010/1109/751233.MP3?redirect=download.yutorah.org
5a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2010/1109/751348.MP3?redirect=download.yutorah.org
6a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2010/1109/751472.MP3?redirect=download.yutorah.org
7a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2010/1109/751635.MP3?redirect=download.yutorah.org
8a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/898396.MP3?redirect=download.yutorah.org
9a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/898425.MP3?redirect=download.yutorah.org
10a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/898503.MP3?redirect=download.yutorah.org
11a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/898569.MP3?redirect=download.yutorah.org
12a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/898662.MP3?redirect=download.yutorah.org
13a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2018/1109/898748.MP3?redirect=download.yutorah.org
14a	audio	Rabbi Aryeh Lebowitz	https://shiurim.yutorah.net/2010/1109/752070.MP3?redirect=download.yutorah.org